task_id,project_id,employee_id,task_title,task_description,task_priority,task_status,task_start_date,task_deadline,required_skill,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee
T001,P00041,EMP008,UI Design,,,In Progress,,2026-11-27,,,,43,,
T002,P00009,EMP048,Login Module,,,Completed,,2026-11-19,,,,98,,
T003,P00006,EMP038,Deployment,,,Not Started,,2026-08-29,,,,3,,
T004,P00015,EMP033,Integration Testing,,,In Progress,,2026-08-28,,,,84,,
T005,P00027,EMP015,Security Testing,,,In Progress,,2026-11-08,,,,15,,
T006,P00049,EMP011,Deployment,,,In Progress,,2026-10-07,,,,42,,
T007,P00049,EMP022,Login Module,,,In Progress,,2026-09-05,,,,60,,
T008,P00023,EMP039,Data Analysis,,,Not Started,,2026-12-06,,,,7,,
T009,P00035,EMP008,Documentation,,,In Progress,,2026-09-04,,,,61,,
T010,P00037,EMP013,API Development,,,Completed,,2026-08-30,,,,94,,
T011,P00006,EMP015,Login Module,,,In Progress,,2026-10-12,,,,61,,
T012,P00011,EMP024,Bug Fixing,,,Completed,,2026-09-20,,,,100,,
T013,P00042,EMP005,Integration Testing,,,In Progress,,2026-11-14,,,,46,,
T014,P00011,EMP030,Documentation,,,Cancelled,,2026-09-28,,,,40,,
T015,P00045,EMP036,Backend Development,,,In Progress,,2026-11-20,,,,22,,
T016,P00015,EMP003,Testing,,,In Progress,,2026-10-15,,,,42,,
T017,P00037,EMP046,Testing,,,Completed,,2026-09-21,,,,96,,
T018,P00042,EMP030,Registration Module,,,Not Started,,2026-09-27,,,,8,,
T019,P00035,EMP017,System Design,,,On Hold,,2026-10-18,,,,35,,
T020,P00024,EMP015,Registration Module,,,In Progress,,2026-10-29,,,,21,,
T021,P00008,EMP010,Dashboard Development,,,Completed,,2026-12-04,,,,99,,
T022,P00005,EMP025,Documentation,,,Cancelled,,2026-11-09,,,,33,,
T023,P00017,EMP036,UI Design,,,Completed,,2026-11-20,,,,100,,
T024,P00035,EMP049,Data Analysis,,,Completed,,2026-12-01,,,,91,,
T025,P00019,EMP028,Dashboard Development,,,Not Started,,2026-10-22,,,,4,,
T026,P00033,EMP049,Dashboard Development,,,On Hold,,2026-10-28,,,,65,,
T027,P00041,EMP020,User Acceptance Testing,,,In Progress,,2026-11-10,,,,62,,
T028,P00049,EMP011,Requirements Analysis,,,On Hold,,2026-12-02,,,,68,,
T029,P00001,EMP039,Testing,,,Not Started,,2026-10-26,,,,5,,
T030,P00020,EMP016,Database Design,,,On Hold,,2026-09-24,,,,70,,
T031,P00006,EMP006,Performance Testing,,,Not Started,,2026-12-07,,,,8,,
T032,P00050,EMP009,Registration Module,,,In Progress,,2026-11-17,,,,85,,
T033,P00011,EMP017,User Acceptance Testing,,,Completed,,2026-12-14,,,,93,,
T034,P00035,EMP049,Frontend Development,,,In Progress,,2026-11-24,,,,62,,
T035,P00029,EMP034,Security Testing,,,In Progress,,2026-09-09,,,,23,,
T036,P00022,EMP002,System Design,,,In Progress,,2026-11-03,,,,43,,
T037,P00001,EMP005,Database Design,,,Not Started,,2026-09-23,,,,0,,
T038,P00022,EMP005,User Acceptance Testing,,,In Progress,,2026-09-24,,,,77,,
T039,P00014,EMP035,Registration Module,,,On Hold,,2026-11-25,,,,46,,
T040,P00037,EMP031,Backend Development,,,In Progress,,2026-12-03,,,,67,,
T041,P00013,EMP007,Login Module,,,In Progress,,2026-11-17,,,,69,,
T042,P00027,EMP030,Database Design,,,Completed,,2026-11-19,,,,100,,
T043,P00007,EMP004,Documentation,,,In Progress,,2026-11-26,,,,28,,
T044,P00016,EMP013,Frontend Development,,,In Progress,,2026-11-01,,,,69,,
T045,P00012,EMP018,Security Testing,,,On Hold,,2026-09-25,,,,14,,
T046,P00029,EMP036,Login Module,,,Completed,,2026-08-31,,,,98,,
T047,P00001,EMP006,Backend Development,,,In Progress,,2026-09-15,,,,76,,
T048,P00014,EMP026,Database Design,,,In Progress,,2026-09-15,,,,64,,
T049,P00017,EMP030,Report Generation,,,Completed,,2026-10-18,,,,98,,
T050,P00043,EMP046,Performance Testing,,,In Progress,,2026-09-13,,,,42,,
T051,P00004,EMP038,Requirements Analysis,,,Completed,,2026-09-01,,,,90,,
T052,P00004,EMP038,Performance Testing,,,On Hold,,2026-10-28,,,,43,,
T053,P00011,EMP004,User Acceptance Testing,,,On Hold,,2026-09-04,,,,14,,
T054,P00039,EMP005,Backend Development,,,Not Started,,2026-10-15,,,,9,,
T055,P00016,EMP038,Integration Testing,,,Completed,,2026-08-30,,,,96,,
T056,P00043,EMP038,System Design,,,In Progress,,2026-10-30,,,,48,,
T057,P00014,EMP043,Testing,,,In Progress,,2026-09-24,,,,31,,
T058,P00043,EMP042,Report Generation,,,In Progress,,2026-10-22,,,,24,,
T059,P00001,EMP030,Integration Testing,,,Cancelled,,2026-11-05,,,,4,,
T060,P00035,EMP014,User Acceptance Testing,,,Not Started,,2026-09-27,,,,5,,
T061,P00005,EMP016,Bug Fixing,,,In Progress,,2026-09-30,,,,84,,
T062,P00046,EMP020,Integration Testing,,,Completed,,2026-12-06,,,,90,,
T063,P00043,EMP036,Report Generation,,,Completed,,2026-12-22,,,,92,,
T064,P00017,EMP008,Login Module,,,In Progress,,2026-11-28,,,,49,,
